,도서명,카테고리,정가,평점,리뷰수,태그
2177,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",9.5,3,#IT기본문법 #프로그래밍언어 #운영체제 #네트워크 #API #JSON #데이터베이스 #이미지처리 #프레임워크 #라이브러리
2178,변화하는 세계 질서,경제/경영,"38,000",9.2,14,#프로시저 #소프트웨어 설계 #데이터베이스 구축
2179,2022 ADsP 데이터 분석 준전문가,컴퓨터/IT,"28,000",9.4,67,#프로그래밍 #튜플 #딕셔너리
2180,나는 대출 없이 0원으로 소형 아파트를 산다,경제/경영,"20,000",9.4,9,#IT수업 #컴퓨터과학 #명강의 #하드웨어 #통신 #데이터
2181,진짜 쓰는 실무 엑셀,컴퓨터/IT,"21,000",9.0,0,#크롤링 #엑셀 파일 #네이버
2182,데이터로 경험을 디자인하라,경제/경영,"19,000",9.6,14,#스프레드시트 일반 #기출 변형 문제 #데이터 입력
2183,그냥 하지 말라 10만부 기념 리커버에디션(색상랜덤),경제/경영,"17,000",9.6,5,#경제전망 #디지털 #혁명 #트레스포메이션 #플랫폼 #분석 #구축 #활용 #운영
2184,SQL 자격검정 실전문제,컴퓨터/IT,"18,000",8.6,9,#대화 #주도권 #관계 #욕망 #호기심 #성과 #테스트
2185,비전공자를 위한 이해할 수 있는 IT 지식,컴퓨터/IT,"16,800",9.7,3,#입문서 #사례 #빅데이터 #합리적 #의사결정
2186,2022 수제비 정보처리기사 필기 1권+2권 합본세트,컴퓨터/IT,"36,500",10,0,#급 합격 #빈출 #단기 합격
2187,Do it! 쉽게 배우는 파이썬 데이터 분석,컴퓨터/IT,"23,000",9.6,3,#파이썬 프로그래밍 #지도 학습 #전처리
2188,1일 1로그 100일 완성 IT 지식,컴퓨터/IT,"20,000",10,0,#스레드 #디자인 패턴 #무결성
2189,만들면서 배우는 파이썬과 40개의 작품들,컴퓨터/IT,"18,800",9.9,1,#사실충실성 #탈진실 #편견
2190,2022 이기적 컴퓨터활용능력 2급 필기 기본서,컴퓨터/IT,"20,000",10,6,#빅사이클 #내부질서 #혼란 #투자 #작동원리 #미래전망 #분석자료
